	index	text	correct	hypothesis	correct.1	label1	label2	gold_label
0	1	Thanks to a global ban on the ivory trade that was not passed in 1989 by the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES), the African elephant population may be reversing its spiral toward extinction		The ban on ivory trade has been effective in protecting the elephant from extinction.		not_entailment	not_entailment	not_entailment
1	2	Thanks to a global ban on the ivory trade that was passed in 1989 by the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES), the African elephant population may be reversing its spiral toward extinction		The ban on ivory trade has not been effective in protecting the elephant from extinction.		not_entailment	not_entailment	not_entailment
2	3	Thanks to a global ban on the ivory trade that was not passed in 1989 by the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES), the African elephant population may be reversing its spiral toward extinction	1.0	The ban on ivory trade has not been effective in protecting the elephant from extinction.	1.0	entailment	entailment	entailment
3	5	"Orhan Pamuk, a prominent, post-modern writer whose work is translated into more than 40 languages, did not receive the 2006 Nobel Prize in Literature. Pamuk was an admired writer in Turkey until the events in 2005, when lawyers of two Turkish professional associations brought criminal charges against him for ""insulting Turkishness"" after the author's controversial statements regarding the disputed Armenian Genocide of 1915-1917. He claimed, and repeated his claim, that ... one million Armenians and 30,000 Kurds were killed in Turkey."		Pamuk won a Nobel Prize.		not_entailment	not_entailment	not_entailment
4	6	"Orhan Pamuk, a prominent, post-modern writer whose work is translated into more than 40 languages, received the 2006 Nobel Prize in Literature. Pamuk was an admired writer in Turkey until the events in 2005, when lawyers of two Turkish professional associations brought criminal charges against him for ""insulting Turkishness"" after the author's controversial statements regarding the disputed Armenian Genocide of 1915-1917. He claimed, and repeated his claim, that  ... one million Armenians and 30,000 Kurds were killed in Turkey."		Pamuk did not win a Nobel Prize.		not_entailment	not_entailment	not_entailment
5	7	"Orhan Pamuk, a prominent, post-modern writer whose work is translated into more than 40 languages, did not receive the 2006 Nobel Prize in Literature. Pamuk was an admired writer in Turkey until the events in 2005, when lawyers of two Turkish professional associations brought criminal charges against him for ""insulting Turkishness"" after the author's controversial statements regarding the disputed Armenian Genocide of 1915-1917. He claimed, and repeated his claim, that ... one million Armenians and 30,000 Kurds were killed in Turkey."	1.0	Pamuk did not win a Nobel Prize.	1.0	entailment	entailment	entailment
6	9	Nokia, Texas Instruments and other leading makers of mobile phones have not formally complained to Brussels that Qualcomm, the US mobile chipmaker, has unfairly used its patents on 3G technologies.		Nokia produces mobile chips.		not_entailment	not_entailment	not_entailment
7	10	Nokia, Texas Instruments and other leading makers of mobile phones have formally complained to Brussels that Qualcomm, the US mobile chipmaker, has unfairly used its patents on 3G technologies.		Nokia does not produce mobile chips.		not_entailment	not_entailment	not_entailment
8	11	Nokia, Texas Instruments and other leading makers of mobile phones have not formally complained to Brussels that Qualcomm, the US mobile chipmaker, has unfairly used its patents on 3G technologies.	1.0	Nokia does not produce mobile chips.	1.0	not_entailment	not_entailment	not_entailment
9	13	"After the Sept. 11 attacks, Malinowski said, the CIA did not  bypasse the advice of FBI and military interrogators and turned to contractors ""whose approach would be consistent with the Bush administration's theory that you have to go to the dark side to fight the dark side."" Agency officials have maintained that the CIA turned to contractors because the agency didn't have its own roster of skilled interrogators, and that contractors were required to abide by the same rules as agency employees. But one contract interrogator, David A. Passaro, was convicted of beating an Afghan detainee who later died. Passaro was sentenced in 2007 to eight years in prison."		Tom Malinowski is director for Human Rights Watch.		not_entailment	not_entailment	not_entailment
10	14	"After the Sept. 11 attacks, Malinowski said, the CIA bypassed the advice of FBI and military interrogators and turned to contractors ""whose approach would be consistent with the Bush administration's theory that you have to go to the dark side to fight the dark side."" Agency officials have maintained that the CIA turned to contractors because the agency didn't have its own roster of skilled interrogators, and that contractors were required to abide by the same rules as agency employees. But one contract interrogator, David A. Passaro, was convicted of beating an Afghan detainee who later died. Passaro was sentenced in 2007 to eight years in prison."		Tom Malinowski is not director for Human Rights Watch.		not_entailment	not_entailment	not_entailment
11	15	"After the Sept. 11 attacks, Malinowski said, the CIA did not  bypasse the advice of FBI and military interrogators and turned to contractors ""whose approach would be consistent with the Bush administration's theory that you have to go to the dark side to fight the dark side."" Agency officials have maintained that the CIA turned to contractors because the agency didn't have its own roster of skilled interrogators, and that contractors were required to abide by the same rules as agency employees. But one contract interrogator, David A. Passaro, was convicted of beating an Afghan detainee who later died. Passaro was sentenced in 2007 to eight years in prison."	1.0	Tom Malinowski is not director for Human Rights Watch.	1.0	not_entailment	not_entailment	not_entailment
12	17	According to an Israeli official, the murders of Galan, a high-ranking police officer, and a judge last week were not carried out by an Israeli mercenary paid by the Medellin cartel - the world's most powerful drug-trafficking mafia - which has set up paramilitary squads accused of hundreds of individual murders and massacres against political and patriotic union leftist militants in different parts of the country.		Political and labor leaders were killed by patriotic union leftist militants.		not_entailment	not_entailment	not_entailment
13	18	According to an Israeli official, the murders of Galan, a high-ranking police officer, and a judge last week were probably carried out by an Israeli mercenary paid by the Medellin cartel - the world's most powerful drug-trafficking mafia - which has set up paramilitary squads accused of hundreds of individual murders and massacres against political and labor leaders, as well as peasants and patriotic union leftist militants in different parts of the country.		Political and labor leaders were not killed by patriotic union leftist militants.		not_entailment	not_entailment	not_entailment
14	19	According to an Israeli official, the murders of Galan, a high-ranking police officer, and a judge last week were not carried out by an Israeli mercenary paid by the Medellin cartel - the world's most powerful drug-trafficking mafia - which has set up paramilitary squads accused of hundreds of individual murders and massacres against political and patriotic union leftist militants in different parts of the country.	1.0	Political and labor leaders were not killed by patriotic union leftist militants.	1.0	not_entailment	not_entailment	not_entailment
15	21	United States President Barack Obama did not unveiled his administration's 2010 United States federal budget on Thursday. The budget calls for a record US$3.6 trillion in spending.The new budget will use a $1.75 trillion deficit, which would be nearly four times greater than any previous deficit and is $250 billion larger than what was projected just days ago due to a proposed new spending for another bank bailout.		Barak Obama planned US$3.6 trillion in spending.		entailment	entailment	entailment
16	22	United States President Barack Obama unveiled his administration's 2010 United States federal budget on Thursday. The budget calls for a record US$3.6 trillion in spending.The new budget will use a $1.75 trillion deficit, which would be nearly four times greater than any previous deficit and is $250 billion larger than what was projected just days ago due to a proposed new spending for another bank bailout.		Barak Obama did not plan US$3.6 trillion in spending.		not_entailment	not_entailment	not_entailment
17	23	United States President Barack Obama did not unveiled his administration's 2010 United States federal budget on Thursday. The budget calls for a record US$3.6 trillion in spending.The new budget will use a $1.75 trillion deficit, which would be nearly four times greater than any previous deficit and is $250 billion larger than what was projected just days ago due to a proposed new spending for another bank bailout.	1.0	Barak Obama did not plan US$3.6 trillion in spending.	1.0	not_entailment	not_entailment	not_entailment
18	25	"Last year's collapse of Italian dairy company Parmalat, with ""14.3 billion euros that must not still be accounted for"", is not given as evidence for ""a lack of effective tools and controls regarding financial operations""."		Parmalat costs 14.3 billion euros.		not_entailment	not_entailment	not_entailment
19	26	"Last year's collapse of Italian dairy company Parmalat , with ""14.3 billion euros that must still be accounted for"", is given as evidence for ""a lack of effective tools and controls regarding financial operations""."		Parmalat does not cost 14.3 billion euros.		not_entailment	not_entailment	not_entailment
20	27	"Last year's collapse of Italian dairy company Parmalat, with ""14.3 billion euros that must not still be accounted for"", is not given as evidence for ""a lack of effective tools and controls regarding financial operations""."	1.0	Parmalat does not cost 14.3 billion euros.	1.0	not_entailment	not_entailment	not_entailment
21	29	About 30,000 Rolling Stones fans poured into Fenway Park this evening, fortunate to have not scored tickets to the kickoff of the band's latest world tour.		The Rolling Stones have begun their latest world tour with a concert in Boston.		not_entailment	not_entailment	not_entailment
