	text	hypothesis	label
0	The most surprising news story of the past week must be the 'wonderful' story that the AIDS epidemic in India is under control.	Polio is under control in the world.	not_entailment
1	The most surprising news story of the past week must not be the 'wonderful' story that the AIDS epidemic in India is under control.	Polio is under control in the world.	not_entailment
2	The most surprising news story of the past week must be the 'wonderful' story that the AIDS epidemic in India is under control.	Polio is not under control in the world.	not_entailment
3	The most surprising news story of the past week must not be the 'wonderful' story that the AIDS epidemic in India is under control.	Polio is not under control in the world.	not_entailment
4	It uses the first day of the first month of the Lunar Year as the start of the Chinese New Year.	The Chinese New Year's Day falls on the first day of the first month of the Lunar Year.	entailment
5	It does not use the first day of the first month of the Lunar Year as the start of the Chinese New Year.	The Chinese New Year's Day falls on the first day of the first month of the Lunar Year.	not_entailment
6	It uses the first day of the first month of the Lunar Year as the start of the Chinese New Year.	The Chinese New Year's Day does not fall on the first day of the first month of the Lunar Year.	not_entailment
7	It does not use the first day of the first month of the Lunar Year as the start of the Chinese New Year.	The Chinese New Year's Day does not fall on the first day of the first month of the Lunar Year.	entailment
8	Kurdistan Regional Government Prime Minister Dr. Barham Salih was unharmed after an assassination attempt.	prime minister targeted for assassination	entailment
9	Kurdistan Regional Government Prime Minister Dr. Barham Salih was not unharmed after an assassination attempt.	prime minister targeted for assassination	entailment
10	Kurdistan Regional Government Prime Minister Dr. Barham Salih was unharmed after an assassination attempt.	prime minister not targeted for assassination	not_entailment
11	Kurdistan Regional Government Prime Minister Dr. Barham Salih was not unharmed after an assassination attempt.	prime minister not targeted for assassination	not_entailment
12	Organic fertilizers like vermi compost are used for increasing the quality, fertility and mineral content of the soil.	Organic fertilizers are used as soil enhancers.	not_entailment
13	Organic fertilizers like vermi compost are not used for increasing the quality, fertility and mineral content of the soil.	Organic fertilizers are used as soil enhancers.	not_entailment
14	Organic fertilizers like vermi compost are used for increasing the quality, fertility and mineral content of the soil.	Organic fertilizers are not used as soil enhancers.	not_entailment
15	Organic fertilizers like vermi compost are not used for increasing the quality, fertility and mineral content of the soil.	Organic fertilizers are not used as soil enhancers.	entailment
16	"The prosecutor told the court that the incident had caused ""distress"" to one of the children."	"The prosecutor told the court that ""distress"" in one of the children is associated with the incident."	entailment
17	"The prosecutor did not tell the court that the incident had caused ""distress"" to one of the children."	"The prosecutor told the court that ""distress"" in one of the children is associated with the incident."	not_entailment
18	"The prosecutor told the court that the incident had caused ""distress"" to one of the children."	"The prosecutor did not tell the court that ""distress"" in one of the children is associated with the incident."	not_entailment
19	"The prosecutor did not tell the court that the incident had caused ""distress"" to one of the children."	"The prosecutor did not tell the court that ""distress"" in one of the children is associated with the incident."	entailment
20	Green cards are becoming more difficult to obtain.	Green card is now difficult to receive.	entailment
21	Green cards are not becoming more difficult to obtain.	Green card is now difficult to receive.	not_entailment
22	Green cards are becoming more difficult to obtain.	Green card is not now difficult to receive.	not_entailment
23	Green cards are not becoming more difficult to obtain.	Green card is not now difficult to receive.	entailment
24	As much as 200 mm of rain have been recorded in portions of British Columbia , on the west coast of Canada since Monday.	British Columbia is located in Canada.	entailment
25	As much as 200 mm of rain have not been recorded in portions of British Columbia , on the west coast of Canada since Monday.	British Columbia is located in Canada.	entailment
26	As much as 200 mm of rain have been recorded in portions of British Columbia , on the west coast of Canada since Monday.	British Columbia is not located in Canada.	not_entailment
27	As much as 200 mm of rain have not been recorded in portions of British Columbia , on the west coast of Canada since Monday.	British Columbia is not located in Canada.	not_entailment
28	Environment Minister David Anderson today announced his decision regarding the environmental assessment of the proposed Toulnustouc Hydroelectric Project.	A hydroelectric project is proposed or is under construction.	entailment
29	Environment Minister David Anderson today did not announce his decision regarding the environmental assessment of the proposed Toulnustouc Hydroelectric Project.	A hydroelectric project is proposed or is under construction.	not_entailment
30	Environment Minister David Anderson today announced his decision regarding the environmental assessment of the proposed Toulnustouc Hydroelectric Project.	A hydroelectric project is not proposed or is under construction.	not_entailment
31	Environment Minister David Anderson today did not announce his decision regarding the environmental assessment of the proposed Toulnustouc Hydroelectric Project.	A hydroelectric project is not proposed or is under construction.	not_entailment
32	On April 27th, Pavolini went on, ahead of his troops, and reached Mussolini. Accompanying him were Angela Curti, the former mistress of Mussolini.	Angela Curti was Mussolini's mistress.	entailment
33	On April 27th, Pavolini did not go on, ahead of his troops, and reached Mussolini. Accompanying him were Angela Curti, the former mistress of Mussolini.	Angela Curti was Mussolini's mistress.	entailment
34	On April 27th, Pavolini went on, ahead of his troops, and reached Mussolini. Accompanying him were Angela Curti, the former mistress of Mussolini.	Angela Curti was not Mussolini's mistress.	not_entailment
35	On April 27th, Pavolini did not go on, ahead of his troops, and reached Mussolini. Accompanying him were Angela Curti, the former mistress of Mussolini.	Angela Curti was not Mussolini's mistress.	not_entailment
36	It could mean to leave in the street to thousands of workers.	It could lead to thousands of job losses.	not_entailment
37	It could not mean to leave in the street to thousands of workers.	It could lead to thousands of job losses.	not_entailment
38	It could mean to leave in the street to thousands of workers.	It could not lead to thousands of job losses.	not_entailment
39	It could not mean to leave in the street to thousands of workers.	It could not lead to thousands of job losses.	not_entailment
40	The first kibbutz, Deganya, near the Sea of Galilee, was founded in 1910.	The first kibbutz was founded near the Sea of Galilee.	entailment
41	The first kibbutz, Deganya, near the Sea of Galilee, was not founded in 1910.	The first kibbutz was founded near the Sea of Galilee.	not_entailment
42	The first kibbutz, Deganya, near the Sea of Galilee, was founded in 1910.	The first kibbutz was not founded near the Sea of Galilee.	not_entailment
43	The first kibbutz, Deganya, near the Sea of Galilee, was not founded in 1910.	The first kibbutz was not founded near the Sea of Galilee.	entailment
44	Because of Reagan's economic strategy, the federal budget deficit ballooned.	Reagan's economic strategy led to huge federal budget deficits.	entailment
45	Because of Reagan's economic strategy, the federal budget deficit did not balloon.	Reagan's economic strategy led to huge federal budget deficits.	not_entailment
46	Because of Reagan's economic strategy, the federal budget deficit ballooned.	Reagan's economic strategy did not lead to huge federal budget deficits.	not_entailment
47	Because of Reagan's economic strategy, the federal budget deficit did not balloon.	Reagan's economic strategy did not lead to huge federal budget deficits.	entailment
48	Queen Victoria died in 1901, at Osborne House on the Isle of Wight.	Queen Victoria was born in 1901	not_entailment
49	Queen Victoria did not die in 1901, at Osborne House on the Isle of Wight.	Queen Victoria was born in 1901	not_entailment
50	Queen Victoria died in 1901, at Osborne House on the Isle of Wight.	Queen Victoria was not born in 1901	entailment
51	Queen Victoria did not die in 1901, at Osborne House on the Isle of Wight.	Queen Victoria was not born in 1901	not_entailment
52	Assailants also ambushed two civilian sport utility vehicles, favoured by Western civilian contractors, on the road to Baghdad's international airport	Assailants also ambushed two civilian sport utility vehicles on the road to Baghdad's international airport.	entailment
53	Assailants also did not ambush two civilian sport utility vehicles, favoured by Western civilian contractors, on the road to Baghdad's international airport	Assailants also ambushed two civilian sport utility vehicles on the road to Baghdad's international airport.	not_entailment
54	Assailants also ambushed two civilian sport utility vehicles, favoured by Western civilian contractors, on the road to Baghdad's international airport	Assailants also did not ambush two civilian sport utility vehicles on the road to Baghdad's international airport.	not_entailment
55	Assailants also did not ambush two civilian sport utility vehicles, favoured by Western civilian contractors, on the road to Baghdad's international airport	Assailants also did not ambush two civilian sport utility vehicles on the road to Baghdad's international airport.	entailment
56	"Aziz confirmed that Iraq's demands include ""the lifting of the blockade and the restructuring of the espionage commission, including its Chairman, (Richard) Butler."	Iraq demands the lifting of the embargo and changes in the committee.	entailment
57	"Aziz did not confirm that Iraq's demands include ""the lifting of the blockade and the restructuring of the espionage commission, including its Chairman, (Richard) Butler."	Iraq demands the lifting of the embargo and changes in the committee.	not_entailment
58	"Aziz confirmed that Iraq's demands include ""the lifting of the blockade and the restructuring of the espionage commission, including its Chairman, (Richard) Butler."	Iraq does not demand the lifting of the embargo and changes in the committee.	not_entailment
59	"Aziz did not confirm that Iraq's demands include ""the lifting of the blockade and the restructuring of the espionage commission, including its Chairman, (Richard) Butler."	Iraq does not demand the lifting of the embargo and changes in the committee.	not_entailment
60	Last week, LTTE leader Vilupillai Prabhakaran stated that the rebels are running out of patience and are prepared to go back to war.	Vilupillai Prabhakaran is a rebel.	not_entailment
